,2011,2012,2013,2014
Российская Федерация,
Всего,
сельское население,"0,9","0,3","0,3","0,8"
20-24,
все население,"0,6","0,6","0,6","0,5"
городское население,"0,4","0,4","0,3","0,3"
сельское население,"0,9","1,2","1,4","1,2"
25-29.,
все население,"0,9","1,2","0,8","0,9"
городское население,"0,8","1,1","0,7","0,8"
сельское население,"1,2","1,4","1,1","1,3"
30-34.,
все население,"1,5","1,8","1,6","1,6"
городское население,"1,2","1,6","1,3","1,6"
сельское население,"1,9","2,4","2,2","1,7"
35-39.,
все население,"2,5","2,7","1,7","2,7"
городское население,"2,5","2,4","1,3","2,6"
сельское население,"2,5",3,"2,3","2,9"
40-44.,
все население,"3,1","2,8","2,7","2,8"
городское население,"3,1","2,8","2,6","2,7"
сельское население,"3,2","2,7","2,8","2,9"
45-49,
все население,"3,8","3,5","3,6","3,4"
городское население,"3,4","3,2","3,1","3,2"
сельское население,"4,5","3,9","4,5","3,8"
50-54,
все население,"5,1","5,4","4,6","5,1"
городское население,"5,2",5,"4,1","4,7"
сельское население,"4,9","5,9","5,3","5,8"
55-59,
все население,9,"7,6","7,9","7,5"
городское население,"7,9",7,"6,9",7
сельское население,"10,8","8,7","9,4","8,3"
60-64,
все население,"12,1","11,6","10,7",11
городское население,"11,8","10,6","10,3","11,3"
сельское население,"12,6","13,4","11,3","10,5"
65-69,
все население,"20,4","15,9","15,3","15,3"
городское население,"18,6","14,2",16,15
сельское население,23,"18,6","14,3","15,7"
70-74,
все население,"29,3","27,9","27,7","28,2"
городское население,"27,9","26,7","28,6","26,3"
сельское население,"30,6","29,1","26,6","30,5"
75-79,
все население,"49,1","53,1","47,1","47,5"
городское население,"48,7","54,6","45,5","47,4"
сельское население,"49,4",52,"48,3","47,5"
80-84,
все население,"91,1","85,1","86,6","82,6"
городское население,"87,4","85,4",82,"85,9"
сельское население,"93,8","84,8","89,8","80,3"
85 и старше,
все население,"164,2","172,4","165,4","171,6"
городское население,151,"168,7","152,7","160,3"
сельское население,"174,1","175,4","175,8",181
Пермский край,
Всего,
все население,"12,9","12,7","12,4","12,6"
городское население,"12,2","12,2","11,8","12,1"
сельское население,15,"14,4","14,6","14,4"
0,
все население,"7,1","8,7",7,"7,1"
городское население,"6,2","8,2","6,7","6,3"
сельское население,"9,5","9,9","7,6",9
1-4.,
все население,"0,5","0,4","0,5","0,4"
городское население,"0,4","0,4","0,4","0,4"
сельское население,"0,6","0,4","0,8","0,2"
5-9.,
все население,"0,2","0,2","0,3","0,2"
городское население,"0,1","0,2","0,2","0,3"
сельское население,"0,3","0,4","0,3","0,1"
10-14.,
все население,"0,3","0,3","0,2","0,2"
городское население,"0,3","0,4","0,1","0,2"
сельское население,"0,5","0,2","0,5","0,3"
15-19,
все население,"0,7","0,6","0,7","0,7"
городское население,"0,6","0,5","0,5","0,7"
сельское население,"0,9","1,1","1,1","0,7"
20-24,
все население,1,"1,1","0,8","0,9"
городское население,"0,9",1,"0,7","0,8"
сельское население,"1,4","1,5","1,4","1,4"
25-29.,
все население,"1,8","1,7","1,5","1,6"
городское население,"1,7","1,5","1,2","1,4"
сельское население,"2,1","2,6","2,3","2,1"
30-34.,
все население,3,"2,4","2,5","2,7"
городское население,"2,8","2,3","2,3","2,5"
сельское население,"3,8","2,8","3,4","3,4"
35-39.,
все население,"2,8","2,7","2,9",3
городское население,"2,7","2,5","2,8","2,7"
сельское население,"3,1","3,5","3,5","4,1"
40-44.,
все население,"3,9","3,4","3,4","3,5"
городское население,"3,6",3,"3,1","3,2"
сельское население,"4,6","4,4","4,7","4,4"
45-49,
все население,"4,9","4,5",4,"4,7"
городское население,"4,6","4,3","3,5","4,7"
сельское население,"5,7","5,3","5,6","4,7"
50-54,
все население,"6,7","6,3","5,7","6,1"
городское население,"6,4","5,7","5,2","5,6"
сельское население,"7,7","7,9",7,"7,4"
55-59,
все население,"10,2","9,8","9,5","9,3"
городское население,"9,3","8,8","9,1","8,7"
сельское население,"13,1","12,8",11,"11,2"
60-64,
все население,"14,5","13,5","13,1","13,4"
городское население,"13,3",13,"12,2","12,9"
сельское население,19,"15,2",16,"15,2"
65-69,
все население,"20,7","19,4","19,5","18,4"
городское население,"19,6","18,7","18,5","17,4"
сельское население,"25,1","21,9","23,6","22,5"
70-74,
все население,"33,2",33,"30,8","30,3"
городское население,"31,7","31,8","29,6","29,6"
сельское население,"38,6","37,2","34,8","32,8"
75-79,
все население,"55,4","54,2","49,6","50,1"
городское население,"54,6","52,8","46,9","48,5"
сельское население,58,"58,8","58,4","55,4"
80-84,
все население,"94,6","93,6","92,7","91,8"
городское население,"90,4","91,1","89,9","89,5"
сельское население,"106,5","100,4","100,7","98,7"
85 и старше,
все население,"180,2","174,9","173,3","173,9"
городское население,"173,5","172,9",169,"170,4"
сельское население,"201,8","181,5","186,9","184,8"
Кировская область,
Всего,
все население,"14,2","14,2",14,"13,8"
городское население,"12,8","13,2",13,"12,6"
сельское население,"18,5","17,4","17,3","17,8"
0,
все население,"6,5","6,9","5,4","3,6"
городское население,"5,7","5,9","5,2","3,2"
сельское население,"8,7","9,5","6,2",5
1-4.,
все население,"0,3","0,5","0,4","0,3"
городское население,"0,3","0,3","0,2","0,4"
сельское население,"0,4",1,1,0
5-9.,
все население,"0,2","0,3","0,3","0,1"
городское население,"0,2","0,4","0,3","0,1"
сельское население,"0,1",0,"0,4","0,1"
10-14.,
все население,"0,3","0,4","0,5","0,2"
городское население,"0,3","0,4","0,5","0,1"
сельское население,"0,3","0,4","0,3","0,6"
15-19,
все население,"0,5","0,4","0,5","0,6"
городское население,"0,3","0,3","0,4","0,4"
сельское население,"1,5","0,9",1,"1,2"
20-24,
все население,"0,8","0,7","0,6","0,4"
городское население,"0,6","0,5","0,3","0,2"
сельское население,"1,8","1,5","2,3","1,6"
25-29.,
все население,1,"0,8","0,9",1
городское население,"0,7","0,7","0,8","0,7"
сельское население,2,"1,6","1,3","2,3"
30-34.,
все население,"1,5","1,8","1,9","1,6"
городское население,"1,3","1,6","1,7","1,1"
сельское население,"2,4","2,7",3,"3,8"
35-39.,
все население,2,2,"2,1",2
городское население,"1,6","1,9","1,7","1,9"
сельское население,"3,3","2,4",4,"2,7"
40-44.,
все население,3,"2,9","2,6","2,9"
городское население,"2,6","2,6","2,3","2,8"
сельское население,"4,2","3,7","3,3","2,9"
45-49,
все население,"4,2","3,8","3,6","3,7"
городское население,"4,2","3,7","3,5","3,4"
сельское население,"4,2","4,2","3,9","4,3"
50-54,
все население,"5,9","5,4","4,9","5,2"
городское население,"5,6","5,4","4,7",5
сельское население,"6,6","5,4","5,4","5,5"
55-59,
все население,"9,2","8,8","8,6","7,9"
городское население,"8,1","8,5","8,4","7,5"
сельское население,"12,4","9,7","9,2","8,8"
60-64,
все население,"14,2","12,3","11,4","11,9"
городское население,"12,7","12,3","10,7","11,2"
сельское население,"18,7","12,4","13,4","13,8"
65-69,
все население,"20,5","17,5",16,"15,3"
городское население,"19,4","17,1","14,6","13,9"
сельское население,"23,4","18,8","20,4","19,5"
70-74,
все население,"30,7","29,7","30,1","29,6"
городское население,29,"28,4","29,6","28,8"
сельское население,"34,9","32,9","31,5","31,6"
75-79,
все население,"52,9","50,5","48,5","46,7"
городское население,"51,8","49,1",48,"44,9"
сельское население,"55,6","53,6","49,8","51,3"
80-84,
все население,"90,8","93,5","88,6","87,8"
городское население,"86,7","92,9","88,2","85,9"
сельское население,"100,6","94,8","89,3","92,2"
85 и старше,
все население,"176,6","179,9","180,3","171,6"
городское население,172,"176,5",179,"167,7"
сельское население,"188,8","189,1","183,7","182,1"
Нижегородская область,
Всего,
все население,"14,9","14,8","14,7","14,6"
городское население,"13,5","13,7","13,6","13,6"
сельское население,"20,4","18,9",19,"18,9"
0,
все население,6,"7,2","6,5","6,9"
городское население,"5,7","7,3","6,2",7
сельское население,"7,2","6,8","7,5","6,4"
1-4.,
все население,"0,3","0,3","0,3","0,4"
городское население,"0,2","0,3","0,3","0,4"
сельское население,"0,5","0,2","0,4","0,3"
5-9.,
все население,"0,2","0,2","0,3","0,2"
городское население,"0,1","0,2","0,2","0,2"
сельское население,"0,4","0,3","0,4","0,5"
10-14.,
все население,"0,3","0,1","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,3",0,"0,1","0,4"
15-19,
все население,"0,5","0,5","0,3","0,6"
городское население,"0,4","0,4","0,3","0,5"
сельское население,"0,9","0,5","0,6",1
20-24,
все население,"0,8","0,8","0,5","0,7"
городское население,"0,7","0,7","0,4","0,7"
сельское население,"1,1","1,2",1,1
25-29.,
все население,"1,5","1,3","1,2","1,2"
городское население,"1,4","1,3","1,1","1,2"
сельское население,"1,8","1,2","1,3","1,1"
30-34.,
все население,2,"2,1",2,"2,1"
городское население,"1,9",2,"1,9",2
сельское население,"2,6","2,8","2,4","2,8"
35-39.,
все население,"2,8","2,8","2,6","2,7"
городское население,"2,7","2,6","2,4","2,6"
сельское население,"3,2","3,3","3,1","2,9"
40-44.,
все население,"3,6",3,"3,1","3,3"
городское население,"3,3","2,8","2,9","3,4"
сельское население,"4,6","3,7","3,6",3
45-49,
все население,"4,1",4,"4,3","3,9"
городское население,"3,9","3,8","4,3","3,8"
сельское население,5,"4,6","4,4","4,2"
50-54,
все население,"6,2","5,5","5,4","5,6"
городское население,"5,7","5,4","5,2","5,4"
сельское население,8,6,"6,2","6,2"
55-59,
все население,"8,8","8,2","7,8","7,6"
городское население,"8,3",8,"7,6","7,2"
сельское население,"10,8",9,"8,6",9
60-64,
все население,"12,7","12,6","11,5","11,7"
городское население,"12,3","12,5","11,3","11,5"
сельское население,"14,6","13,1","12,4","12,1"
65-69,
все население,20,"19,3","17,8","17,8"
городское население,"19,9",19,"17,6","17,4"
сельское население,"20,4","20,5","18,5","19,6"
70-74,
все население,"31,6","30,9","31,6","28,7"
городское население,"31,2","31,2","31,6","28,6"
сельское население,"33,1","29,9","31,5","28,9"
75-79,
все население,"56,5","53,5","51,4","50,1"
городское население,"55,7","53,8","51,3",50
сельское население,"58,7","52,8",52,"50,4"
80-84,
все население,"97,5","97,2","95,3",94
городское население,"96,7","99,1","96,5",96
сельское население,"99,5","92,9","92,5","89,4"
85 и старше,
все население,"183,7","182,5","182,6","182,2"
городское население,"179,4","183,4","183,3","183,9"
сельское население,"194,6","180,2","180,8","178,1"
Оренбургская область,
Всего,
все население,"12,6","12,5","12,4","12,7"
городское население,12,12,"11,8","12,1"
сельское население,"13,4","13,3","13,2","13,6"
0,
все население,"6,8","8,5","9,3","8,4"
городское население,"4,8","7,5","8,2","7,2"
сельское население,"9,3","9,6","10,5","9,9"
1-4.,
все население,"0,4","0,4","0,5","0,4"
городское население,"0,4","0,3","0,4","0,3"
сельское население,"0,4","0,6","0,6","0,5"
5-9.,
все население,"0,2","0,3","0,3","0,2"
городское население,"0,3","0,2","0,3","0,2"
сельское население,"0,2","0,4","0,3","0,2"
10-14.,
все население,"0,1","0,3","0,2","0,2"
городское население,"0,1","0,3","0,1","0,1"
сельское население,"0,1","0,4","0,3","0,3"
15-19,
все население,"0,8","0,5","0,5","0,7"
городское население,"0,7","0,5","0,4","0,5"
сельское население,"0,9","0,5","0,6",1
20-24,
все население,1,"0,9","0,9","0,8"
городское население,"0,8","0,6","0,7","0,6"
сельское население,"1,4","1,7","1,3","1,4"
25-29.,
все население,"1,4","1,7","1,6","1,7"
городское население,"1,5","1,7","1,5","1,6"
сельское население,"1,2","1,8","1,9","1,7"
30-34.,
все население,"2,7","2,2","2,5","2,5"
городское население,"2,8","2,3","2,5","2,5"
сельское население,"2,3",2,"2,3","2,6"
35-39.,
все население,"3,2","2,8","2,8","3,1"
городское население,"3,4","3,2","2,8",3
сельское население,"2,8","2,2","2,7","3,3"
40-44.,
все население,"3,3","3,5","3,6","3,4"
городское население,"3,2","3,4","3,6","3,7"
сельское население,"3,5","3,8","3,7",3
45-49,
все население,"4,3","4,6","4,7","4,5"
городское население,"4,3","4,7","4,7","4,5"
сельское население,"4,4","4,5","4,7","4,5"
50-54,
все население,6,"5,8","5,6",6
городское население,"6,3","5,7","5,2","5,5"
сельское население,"5,6","5,9","6,1","6,6"
55-59,
все население,"8,6","8,1","8,1","8,2"
городское население,8,"7,8","7,7","7,8"
сельское население,"9,6","8,4","8,7","8,8"
60-64,
все население,"12,8","12,9","12,6","11,8"
городское население,"12,3",13,"12,4","11,3"
сельское население,"13,8","12,9","12,8","12,6"
65-69,
все население,"20,6","19,2",18,"19,2"
городское население,"18,9","19,4","17,2","18,9"
сельское население,23,"18,9","19,3","19,7"
70-74,
все население,"33,9","32,3","31,7",30
городское население,"33,3","31,9","31,7","29,2"
сельское население,"34,7","32,8","31,7",31
75-79,
все население,"58,6","53,7",52,"53,6"
городское население,"58,9","52,8",53,"52,4"
сельское население,"58,1","54,9","50,7","55,1"
80-84,
все население,"97,2","95,8","93,7","88,5"
городское население,100,"96,7","94,5","91,6"
сельское население,"93,6","94,8","92,8","84,3"
85 и старше,
все население,"178,3","177,1","168,3","179,9"
городское население,"176,7","175,1","168,2","184,2"
сельское население,"180,7","180,2","168,4","173,9"
Пензенская область,
Всего,
все население,"13,4","13,5","13,2","13,4"
городское население,12,"12,2","12,1","12,2"
сельское население,"16,5","16,4","15,7","15,9"
0,
все население,"3,9","6,9","4,9","5,9"
городское население,4,"6,6","4,8","6,1"
сельское население,"3,6","7,4","5,1","5,3"
1-4.,
все население,"0,4","0,4","0,3","0,3"
городское население,"0,4","0,4","0,4","0,3"
сельское население,"0,3","0,3","0,1","0,1"
5-9.,
все население,"0,2","0,3","0,1","0,1"
городское население,"0,2","0,3",0,"0,1"
сельское население,"0,2","0,3","0,2","0,1"
10-14.,
все население,"0,1","0,1","0,1","0,2"
городское население,"0,1","0,1",0,"0,2"
сельское население,"0,2","0,1","0,3","0,3"
15-19,
все население,"0,4","0,4","0,3","0,5"
городское население,"0,3","0,4","0,2","0,4"
сельское население,"0,4","0,3","0,5","0,7"
20-24,
все население,"0,6","0,6","0,3","0,5"
городское население,"0,6","0,5","0,3","0,5"
сельское население,"0,5","0,8","0,5","0,3"
25-29.,
все население,"1,1","0,9","0,7","0,8"
городское население,1,"0,7","0,7","0,8"
сельское население,"1,3","1,6","0,8","0,8"
30-34.,
все население,"1,5","1,6","1,3","1,3"
городское население,"1,5","1,5","1,3","1,2"
сельское население,"1,6","1,7","1,3","1,8"
35-39.,
все население,"1,7","1,6","1,9","1,8"
городское население,"1,5","1,6","1,7","1,7"
сельское население,"2,2","1,6","2,5","2,1"
40-44.,
все население,"2,4","2,5","2,6","2,6"
городское население,"2,6","2,6","2,3","2,6"
сельское население,"1,8","2,3","3,1","2,6"
45-49,
все население,"3,1","3,3","3,1","2,9"
городское население,"2,8","3,2","2,9","2,9"
сельское население,"3,6","3,5","3,6",3
50-54,
все население,"4,7","4,6","4,6","4,2"
городское население,"4,2","4,4","4,4","3,8"
сельское население,"5,8","5,2","4,9","4,9"
55-59,
все население,"7,9","6,5","6,5","6,3"
городское население,"7,9",6,"6,1","6,1"
сельское население,"7,9","7,7","7,4","6,5"
60-64,
все население,"11,5","11,5","10,6",10
городское население,"11,1","10,8","9,8","9,5"
сельское население,"12,2",13,"12,4","11,2"
65-69,
все население,"18,1","16,1","15,4","15,3"
городское население,17,"15,3",14,"14,9"
сельское население,"20,6","17,8","18,9","16,2"
70-74,
все население,"29,6","28,1","29,5","28,5"
городское население,"29,3","26,9","27,8","28,5"
сельское население,30,"30,1","32,6","28,4"
75-79,
все население,"54,2","51,3","47,1",48
городское население,"50,3","49,4","45,9","47,5"
сельское население,"60,1","54,4",49,"48,7"
80-84,
все население,"90,8","90,6","87,7","91,3"
городское население,"91,6","88,8",89,"86,2"
сельское население,"89,5","93,2","85,7","98,8"
85 и старше,
все население,"167,6","174,1","166,1","164,2"
городское население,155,"169,7","167,9","163,9"
сельское население,"188,9","182,1","162,9","164,6"
Самарская область,
Всего,
все население,"12,6","12,2","12,7","12,5"
городское население,"12,2","11,9","12,3","12,2"
сельское население,"14,4","13,7","14,4","13,7"
0,
все население,"6,3","6,3","5,8",6
городское население,"5,9","6,2","5,3","5,8"
сельское население,"7,9","6,8","7,4","7,1"
1-4.,
все население,"0,4","0,3","0,4","0,3"
городское население,"0,4","0,3","0,4","0,3"
сельское население,"0,3","0,4","0,6","0,2"
5-9.,
все население,"0,2","0,1","0,2","0,2"
городское население,"0,2","0,1","0,2","0,2"
сельское население,"0,4","0,3","0,1","0,1"
10-14.,
все население,"0,3","0,3","0,2","0,2"
городское население,"0,2","0,3","0,3","0,2"
сельское население,"0,3","0,1","0,2","0,1"
15-19,
все население,"0,4","0,4","0,5","0,4"
городское население,"0,3","0,4","0,4","0,3"
сельское население,"0,5","0,5","0,6","0,9"
20-24,
все население,"0,8","0,6","0,8","0,5"
городское население,"0,8","0,5","0,7","0,5"
сельское население,"1,1","0,8",1,"0,8"
25-29.,
все население,"2,1","1,7","1,7","1,5"
городское население,"2,1","1,7","1,7","1,5"
сельское население,"1,8","1,3","1,4","1,6"
30-34.,
все население,"2,8","2,8","2,9","2,8"
городское население,"2,7","2,9","2,9","2,8"
сельское население,"3,3","2,2","3,1","2,7"
35-39.,
все население,"2,6","2,5","3,2","3,2"
городское население,"2,6","2,6","3,3","3,2"
сельское население,"2,6","2,2","2,9","3,1"
40-44.,
все население,"3,2","3,4","3,4","3,5"
городское население,"3,3","3,2","3,4","3,6"
сельское население,"3,1",4,"3,5","3,4"
45-49,
все население,"3,8","4,1","4,2","4,4"
городское население,"3,8",4,"4,1","4,3"
сельское население,4,"4,5","4,7","4,5"
50-54,
все население,"5,6","5,2","5,8","5,2"
городское население,"5,6","5,1","5,5","5,1"
сельское население,"5,6","5,6","6,7","5,8"
55-59,
все население,"8,2","7,8","7,8","7,5"
городское население,"7,8","7,4","7,9","7,4"
сельское население,"9,7","9,5","7,3",8
60-64,
все население,12,"10,7","10,8","10,9"
городское население,"11,9","10,8","10,7","10,7"
сельское население,"12,6","10,4",11,12
65-69,
все население,"18,9","16,9","17,4","16,4"
городское население,"18,2","16,6","17,2",16
сельское население,22,"18,2","18,5","18,5"
70-74,
все население,"30,4","29,4","30,2","28,1"
городское население,"30,1","29,1","29,7","28,4"
сельское население,"31,4","30,5",32,27
75-79,
все население,"51,6","49,7","47,1",47
городское население,"50,7","50,4","46,5","46,6"
сельское население,"55,2",47,"49,1","48,4"
80-84,
все население,"95,3","91,5",91,90
городское население,"94,7","91,4",90,"91,8"
сельское население,"97,2","91,7","94,4","83,7"
85 и старше,
все население,182,"169,2","173,7","168,1"
городское население,"181,4","167,8","172,5","168,7"
сельское население,"184,3","174,2",178,166
Саратовская область,
Всего,
все население,"12,9","12,8","13,1","12,7"
городское население,"12,4","12,5","12,8","12,4"
сельское население,"14,4","13,9","14,1","13,8"
0,
все население,5,"5,7","4,9",6
городское население,"4,2","5,2","4,7","5,7"
сельское население,7,"6,7","5,4","6,6"
1-4.,
все население,"0,5","0,3","0,4","0,3"
городское население,"0,5","0,4","0,3","0,2"
сельское население,"0,4","0,1","0,6","0,5"
5-9.,
все население,"0,2","0,4","0,3","0,2"
городское население,"0,2","0,2","0,2","0,3"
сельское население,"0,4","0,9","0,6","0,1"
10-14.,
все население,"0,4","0,2","0,1","0,2"
городское население,"0,3","0,2",0,"0,2"
сельское население,"0,8","0,4","0,3","0,1"
15-19,
все население,"0,4","0,5","0,4","0,4"
городское население,"0,4","0,3","0,4","0,3"
сельское население,"0,5","0,9","0,4","0,7"
20-24,
все население,"0,6","0,6","0,5","0,4"
городское население,"0,5","0,5","0,5","0,3"
сельское население,"1,1","1,3","0,8",1
25-29.,
все население,"1,1","1,1",1,1
городское население,"1,1","1,1",1,1
сельское население,"1,2","1,3","1,2","1,1"
30-34.,
все население,"2,1",2,2,"1,6"
городское население,"2,1",2,"1,9","1,6"
сельское население,2,2,"2,2","1,8"
35-39.,
все население,"2,4","2,6","2,2","2,6"
городское население,"2,5","2,5","2,1","2,6"
сельское население,"2,3","2,9","2,5","2,4"
40-44.,
все население,"2,7","3,1","2,7",3
городское население,"2,6","3,2","2,7","2,9"
сельское население,3,"2,6","2,7","3,6"
45-49,
все население,"4,1","3,9","3,9","4,1"
городское население,4,"3,9","3,7","4,1"
сельское население,"4,4","3,9","4,6","3,9"
50-54,
все население,"5,5","4,8","5,6","5,4"
городское население,5,"4,7","5,4","5,2"
сельское население,"6,8","4,9","6,2","5,8"
55-59,
все население,"8,4","7,5","7,8","7,7"
городское население,"7,6",7,"7,6","7,2"
сельское население,"10,9","8,9","8,5","9,1"
60-64,
все население,"12,5","12,5","11,7","10,5"
городское население,"12,2","11,9","11,2","10,1"
сельское население,"13,9","14,9","13,2",12
65-69,
все население,"19,1",17,"16,6","17,1"
городское население,"18,3","16,5","16,2","16,6"
сельское население,"21,9","18,8","18,4",19
70-74,
все население,"30,2","29,5","29,6","29,4"
городское население,"29,1","28,7",29,"28,5"
сельское население,"33,3","31,8","31,5","31,9"
75-79,
все население,"53,7","49,4","48,5","47,6"
городское население,"52,5","48,3","47,3","47,4"
сельское население,57,"52,6","51,8","48,1"
80-84,
все население,"92,8","94,3","94,6","84,1"
городское население,"91,2","94,5","95,1","82,1"
сельское население,"97,5","93,8","93,1","89,9"
85 и старше,
все население,"181,1","176,7","182,5","173,6"
городское население,"179,2","175,8","182,7","175,3"
сельское население,187,"179,1",182,"168,6"
Ульяновская область,
Всего,
все население,"12,9","12,6","12,9",13
городское население,"11,8","11,6",12,"11,9"
сельское население,"16,1","15,5","15,5","16,3"
0,
все население,"5,8","6,3","7,6","7,6"
городское население,"5,6","6,7","8,8","7,5"
сельское население,"6,3","4,9","4,4","7,8"
1-4.,
все население,"0,4","0,4","0,6","0,6"
городское население,"0,3","0,4","0,4","0,7"
сельское население,"0,6","0,6","1,1","0,4"
5-9.,
все население,"0,2","0,1","0,2","0,1"
городское население,"0,1","0,2","0,2","0,1"
сельское население,"0,3",0,"0,1","0,1"
10-14.,
все население,"0,3","0,2","0,2","0,1"
городское население,"0,2","0,1","0,2","0,1"
сельское население,"0,5","0,4",0,"0,1"
15-19,
все население,"0,4","0,2","0,6","0,5"
городское население,"0,3","0,2","0,5","0,4"
сельское население,"0,8",0,1,"0,8"
20-24,
все население,"0,7","0,8","0,7","0,6"
городское население,"0,6","0,8","0,6","0,6"
сельское население,"0,8",1,1,"0,8"
25-29.,
все население,"1,4","1,2",1,"1,5"
городское население,"1,5","1,1","1,1","1,5"
сельское население,"1,1","1,3","0,9","1,7"
30-34.,
все население,2,2,"2,5","2,1"
городское население,"1,8","1,9","2,4","1,8"
сельское население,"2,6","2,3","2,6","3,2"
35-39.,
все население,"2,3","2,3","2,2","2,2"
городское население,2,2,"2,1","2,1"
сельское население,"3,4","3,4","2,7","2,6"
40-44.,
все население,"2,8","2,8","2,7",3
городское население,"2,6","2,8","2,7",3
сельское население,"3,6",3,"2,6","2,9"
45-49,
все население,"3,2","3,6","3,7","3,3"
городское население,"3,1","3,4","3,8","3,4"
сельское население,"3,8","4,1","3,4","3,3"
50-54,
все население,"4,8","4,9","4,3","5,4"
городское население,"4,5","4,8","4,2","5,2"
сельское население,"5,6",5,"4,4","6,1"
55-59,
все население,"7,9","6,9","6,8","7,7"
городское население,"7,6","6,6","6,7","7,7"
сельское население,"9,1","7,8","7,1","7,7"
60-64,
все население,"11,8","11,3","10,7","11,3"
городское население,"11,4","11,5","10,1","10,7"
сельское население,"13,2","10,6","12,4","13,1"
65-69,
все население,"18,5","16,8","15,2","16,6"
городское население,"18,9","15,7","15,7","15,6"
сельское население,"17,4","20,1",14,"19,5"
70-74,
все население,"29,8","29,2",30,"27,5"
городское население,"30,1","29,3","29,8","27,3"
сельское население,"29,1","28,9","30,5","28,1"
75-79,
все население,"55,9","46,4","47,3","45,8"
городское население,57,47,"46,3","44,8"
сельское население,54,"45,2","49,4","47,9"
80-84,
все население,"91,6","94,5","93,4","90,6"
городское население,"93,3","96,9","98,1","92,3"
сельское население,"88,3","90,2","85,1","87,7"
85 и старше,
все население,"183,9","167,3","174,6","167,6"
городское население,"181,6","165,8","179,8","169,7"
сельское население,"188,5","170,2","163,7","163,4"
Уральский Федеральный округ,
Всего,
все население,"11,1","11,2","10,9",11
городское население,"10,5","10,6","10,3","10,5"
сельское население,"13,6","13,5","13,5","13,1"
0,
все население,6,"6,6","6,7","5,5"
городское население,"5,3","6,1",6,"5,1"
сельское население,"8,5","8,6","9,5","6,8"
1-4.,
все население,"0,4","0,5","0,4","0,4"
городское население,"0,4","0,4","0,4","0,3"
сельское население,"0,6","0,7","0,5","0,8"
5-9.,
все население,"0,3","0,2","0,2","0,2"
городское население,"0,3","0,2","0,2","0,2"
сельское население,"0,4","0,4","0,4","0,4"
10-14.,
все население,"0,2","0,3","0,3","0,2"
городское население,"0,2","0,3","0,2","0,2"
сельское население,"0,3","0,3","0,5","0,3"
15-19,
все население,"0,5","0,6","0,5","0,5"
городское население,"0,4","0,5","0,4","0,5"
сельское население,"0,8","0,8","0,8","0,6"
20-24,
все население,"0,9","0,8","0,8","0,8"
городское население,"0,8","0,7","0,7","0,7"
сельское население,"1,2","1,5","1,5","1,3"
25-29.,
все население,"1,5","1,5","1,4","1,5"
городское население,"1,4","1,4","1,3","1,4"
сельское население,"1,8","1,9","2,1","2,1"
30-34.,
все население,"2,2","2,2","2,2","2,3"
городское население,"2,1","2,1","2,1","2,1"
сельское население,"2,6",3,"2,8",3
35-39.,
все население,"2,4","2,4","2,4","2,6"
городское население,"2,2","2,3","2,2","2,5"
сельское население,"3,3",3,"3,3","3,3"
40-44.,
все население,"2,8","2,8","2,9","2,9"
городское население,"2,7","2,5","2,7","2,7"
сельское население,"3,3",4,"4,1","3,5"
45-49,
все население,"3,9","3,8","3,7","3,8"
городское население,"3,6","3,5","3,5","3,6"
сельское население,"5,1",5,"4,6","4,8"
50-54,
все население,"5,6","5,4",5,5
городское население,"5,4","5,2","4,7","4,8"
сельское население,"6,5",6,6,6
55-59,
все население,"8,6","8,3","7,6","7,8"
городское население,8,8,"7,2","7,3"
сельское население,"10,7","9,8","9,3","9,5"
60-64,
все население,"12,5","12,2","11,8","11,8"
городское население,12,"11,9","11,1","11,3"
сельское население,"14,4","13,8","14,5","13,7"
65-69,
все население,"19,4","17,9",17,"17,3"
городское население,"18,7","17,3","16,6","16,8"
сельское население,"22,5","20,4","18,7","19,6"
70-74,
все население,"31,2","30,7","29,6","29,3"
городское население,"30,2",30,"28,6","28,7"
сельское население,"34,7","33,3","33,3","31,8"
75-79,
все население,"53,2","51,7","47,8","47,2"
городское население,"52,1",51,"47,3","46,9"
сельское население,"56,6","54,1","49,5","48,2"
80-84,
все население,"95,1","94,9",92,"88,9"
городское население,"94,3","94,8","91,1","89,3"
сельское население,"97,9","95,2","95,2","87,5"
85 и старше,
все население,"176,7","174,7","174,3","172,9"
городское население,"176,2","174,6","172,8","174,5"
сельское население,"178,7","175,1","179,4","167,4"
Курганская область,
Всего,
все население,"13,6","14,3","14,3","14,3"
городское население,"12,1",13,"12,9","13,1"
сельское население,"16,2","16,5","16,7","16,3"
0,
все население,"8,1","6,3","9,1",7
городское население,"7,4","4,1",8,"5,9"
сельское население,"9,2","9,4","10,7","8,8"
1-4.,
все население,"0,6","0,7","0,2","0,7"
городское население,"0,6","0,2","0,3","0,4"
сельское население,"0,7","1,4","0,1","1,1"
5-9.,
все население,"0,6","0,5","0,3","0,1"
городское население,"0,5","0,4","0,3",0
сельское население,"0,6","0,5","0,4","0,3"
10-14.,
все население,"0,2","0,4","0,2","0,2"
городское население,"0,3","0,3",0,"0,1"
сельское население,"0,1","0,5","0,4","0,4"
15-19,
все население,"0,8","0,7","0,5","0,6"
городское население,"0,7","0,6","0,3","0,6"
